UID,Name,DoB,Nat,Division,Club,Preferred Foot,Position,Height,Weight,Age,Transfer Value,Wage,Style,Best Role
2000194996,Max Herrmann,18/6/2005 (17 years old),GER,Bundesliga,VfL Wolfsburg,Right Only,AM (C),174 cm,62 kg,17,€22K - €210K,"€10,000 p/m",Physical,Advanced Playmaker
2000196133,Mico Schmidt,16/2/2005 (17 years old),GER,Bundesliga 2,Hannover,Right,ST (C),172 cm,63 kg,17,€130K - €375K,"€1,700 p/m",Physical,Advanced Forward
2000196171,Paul Marx,23/12/2005 (16 years old),GER,3. Liga,SV Meppen,Right Only,GK,170 cm,56 kg,16,€500 - €5K,€275 p/m,Shot Stopper,Goalkeeper
2000196492,Marlon Ubani,26/3/2005 (17 years old),GER,Bundesliga,Borussia Dortmund,Right Only,AM (R),173 cm,62 kg,17,€18K - €170K,"€2,800 p/m",Technical,Winger
2000196521,Samy Jakšić,21/6/2005 (17 years old),GER,Bundesliga,Bayer 04,Right,D (R),170 cm,59 kg,17,€28K - €80K,€275 p/m,Intelligent,Full-Back
2000196574,Lennox Kern,12/1/2004 (18 years old),GER,3. Liga,MSV Duisburg,Right,M (C),176 cm,65 kg,18,€0 - €24K,"€1,500 p/m",Physical,Mezzala
2000196575,Josia-Levi Walther,8/10/2004 (17 years old),GER,3. Liga,FC Viktoria Köln,Right,ST (C),179 cm,71 kg,17,€4.5K - €45K,"€1,600 p/m",Intelligent,Poacher
2000196577,Jakob Krautkrämer,15/4/2005 (17 years old),GER,Bundesliga,1. FC Köln,Left,WB (L),181 cm,69 kg,17,€55K - €160K,€275 p/m,Technical,Wing-Back
2000196578,Malte Höhn,21/4/2005 (17 years old),GER,Bundesliga,1. FC Köln,Right,M/AM (RL),172 cm,61 kg,17,€20K - €200K,€275 p/m,Technical,Inverted Winger
2000196609,Luis Cortijo-Lange,5/2/2005 (17 years old),GER,Bundesliga,1. FC Köln,Right,ST (C),186 cm,78 kg,17,€65K - €200K,€275 p/m,Intelligent,Poacher
2000196618,Baran Seker,2/1/2005 (17 years old),GER,3. Liga,RW Essen,Right Only,ST (C),183 cm,73 kg,17,€0 - €100K,€275 p/m,Intelligent,Poacher
2000196890,Gabriel Imoijeza,14/8/2005 (16 years old),GER,Bundesliga 2,Düsseldorf,Right Only,D (R),178 cm,65 kg,16,€35K - €350K,€275 p/m,Physical,Full-Back
2000196893,Sima Suso,28/5/2005 (17 years old),GER,Bundesliga 2,Düsseldorf,Right,DM,168 cm,59 kg,17,€75K - €230K,"€1,700 p/m",Leader,Defensive Midfielder
2000197042,Michel Schwarz,4/9/2004 (17 years old),GER,Bundesliga 2,KSC,Right Only,ST (C),171 cm,66 kg,17,€30K - €325K,"€1,700 p/m",Physical,Poacher
2000197093,Deniz-Kaan Wolf,30/1/2004 (18 years old),GER,Bundesliga 2,Darmstadt,Right,D (C),182 cm,71 kg,18,€4K - €12K,"€2,900 p/m",Technical,Central Defender
2000041294,Bjorn Klaassens,4/12/2001 (20 years old),NED,Eredivisie,FC Emmen,Left,D (C),186 cm,77 kg,20,€0 - €110K,€650 p/m,Physical,Central Defender
2000197323,Rico Wuttke,4/1/2005 (17 years old),GER,Bundesliga,SC Freiburg,Left Only,M (L),166 cm,58 kg,17,€4K - €40K,"€2,800 p/m",Technical,Winger
2000101054,Maarten Schouten,4/8/2003 (18 years old),NED,Eredivisie,N.E.C. Nijmegen,Right Only,GK,194 cm,81 kg,18,0,N/A,Assertive,Goalkeeper
2000043526,Vincent Pichel,12/11/2001 (20 years old),NED,Eredivisie,SC Cambuur,Right Only,M (C),174 cm,65 kg,20,€0 - €100K,€650 p/m,Physical,Central Midfielder
2000101235,Devin Lazović,17/6/2004 (18 years old),GER,Bundesliga 2,Magdeburg,Left Only,"DM, M (C)",182 cm,77 kg,18,€3K - €30K,"€1,700 p/m",Intelligent,Central Midfielder
18100347,Ortwin De Wolf,23/4/1997 (25 years old),BEL,Jupiler Pro League,Antwerp,Left Only,GK,192 cm,83 kg,25,€110K - €1.1M,"€17,250 p/m",Distributor,Sweeper Keeper
18107203,Yentl Van Genechten,18/8/2000 (21 years old),BEL,Jupiler Pro League,Eupen,Right Only,D/WB (R),191 cm,83 kg,21,€50K - €500K,"€4,300 p/m",Physical,Full-Back
2000126876,Janis Wieland,7/6/2003 (19 years old),SUI,Bundesliga 2,Magdeburg,Left Only,M/AM (L),177 cm,67 kg,19,€0 - €35K,"€1,700 p/m",Technical,Winger
2000211669,Gonzalo Moratalla Rumeu,30/4/2004 (18 years old),ESP,Bundesliga,Bayer 04,Right Only,M (C),194 cm,81 kg,18,€28K - €80K,"€2,800 p/m",Intelligent,Central Midfielder
2000068507,Mathias Hülsenbusch,31/3/2003 (19 years old),GER,3. Liga,SC Freiburg II,Right,D (C),196 cm,84 kg,19,€4.5K - €45K,"€2,800 p/m",Physical,Central Defender
2000133627,Mees Mink,10/2/2005 (17 years old),NED,Eredivisie,FC Groningen,Right Only,"M/AM (R), ST (C)",172 cm,61 kg,17,€7K - €65K,€500 p/m,Physical,Winger
2000055454,Samy Tory,21/12/2004 (17 years old),MAR,Jupiler Pro League,Standard,Right Only,D (C),186 cm,75 kg,17,€30K - €300K,"€3,200 p/m",Technical,Ball Playing Defender
2000133459,Aaron Bayakala,19/2/2005 (17 years old),GER,Bundesliga,1. FC Köln,Right,"AM (C), ST (C)",173 cm,60 kg,17,€5K - €50K,€275 p/m,Technical,Poacher
2000219407,Ayoni Santos,18/6/2005 (17 years old),NED,Eredivisie,Sparta Rotterdam,Right,"DM, M (C)",170 cm,59 kg,17,€12K - €130K,€500 p/m,Intelligent,Mezzala
2000219431,Ayoub Oufkir,4/1/2006 (16 years old),NED,Eredivisie,Sparta Rotterdam,Right Only,"D (C), DM, M (C)",171 cm,58 kg,16,€12K - €110K,€425 p/m,Leader,Ball Winning Midfielder
2000219830,Timo Borrie,12/5/2006 (16 years old),NED,Eredivisie,Sparta Rotterdam,Right,"D (C), DM, M (C)",192 cm,76 kg,16,€14K - €140K,€425 p/m,Intelligent,Defensive Midfielder
2000088596,Semmo van Loon,13/8/2002 (19 years old),NED,Eredivisie,Excelsior,Right,M/AM (C),172 cm,68 kg,19,€0 - €120K,€775 p/m,Physical,Mezzala
15069939,Connor Metcalfe,5/11/1999 (22 years old),AUS,Bundesliga 2,St. Pauli,Left,M (C),178 cm,70 kg,22,€24K - €240K,"€5,250 p/m",Intelligent,Central Midfielder
18110905,Thibo Somers,16/3/1999 (23 years old),BEL,Jupiler Pro League,Cercle Brugge,Right,"M (RC), AM (RLC)",178 cm,77 kg,23,€550K - €1.5M,"€6,500 p/m",Leader,Inverted Winger
13211575,Pierre Akono,29/6/2000 (21 years old),CMR,Jupiler Pro League,Eupen,Right,M (C),182 cm,76 kg,21,€18K - €170K,"€10,750 p/m",Physical,Mezzala
2000228326,Andreas Verstraeten,10/1/2006 (16 years old),BEL,Jupiler Pro League,Antwerp,Right Only,GK,175 cm,63 kg,16,€16K - €150K,€250 p/m,Distributor,Goalkeeper
2000053454,Siem Askamp,8/5/2004 (18 years old),NED,Eredivisie,Go Ahead Eagles,Right,M/AM (C),171 cm,62 kg,18,€0 - €95K,€575 p/m,Physical,Mezzala
2000145680,Mohamed Galif,4/9/2005 (16 years old),NED,Eredivisie,Go Ahead Eagles,Either,"AM (RLC), ST (C)",179 cm,65 kg,16,€24K - €250K,€500 p/m,Physical,Inverted Winger
2000154132,Gilles Kamdem,6/4/2004 (18 years old),GER,Bundesliga,Union Berlin,Right Only,"D (C), DM",185 cm,73 kg,18,€18K - €180K,"€2,800 p/m",Physical,Central Defender
2000154162,Julian Mätzke,6/2/2004 (18 years old),GER,Bundesliga,Union Berlin,Either,M (C),186 cm,74 kg,18,€12K - €110K,"€2,800 p/m",Leader,Central Midfielder
2000158237,Kenan Hadziavdic,2/1/2004 (18 years old),GER,Bundesliga,Hertha Berlin,Right Only,"M/AM (R), ST (C)",185 cm,74 kg,18,€50K - €150K,"€2,800 p/m",Technical,Winger
2000176786,Larson Ferati,25/1/2006 (16 years old),KOS,Bundesliga,Bayer 04,Right,ST (C),186 cm,72 kg,16,€16K - €160K,€275 p/m,Technical,Poacher
2000178872,Matti Wagner,7/6/2005 (17 years old),GER,Bundesliga,1. FC Köln,Right,D (C),186 cm,75 kg,17,€16K - €150K,€275 p/m,Intelligent,Central Defender
2000178873,Julian Pauli,18/7/2005 (16 years old),GER,Bundesliga,1. FC Köln,Right,D (C),186 cm,69 kg,16,€230K - €650K,€275 p/m,Physical,Central Defender
2000180026,Omar Zouggary,11/6/2005 (17 years old),NED,Eredivisie,FC Twente,Right,AM (RL),173 cm,61 kg,17,€0 - €90K,€500 p/m,Leader,Winger
2000180853,Pascal Klemens,23/2/2005 (17 years old),GER,Bundesliga,Hertha Berlin,Right Only,D (C),183 cm,73 kg,17,€180K - €550K,€275 p/m,Intelligent,Central Defender
2000180873,Gökdeniz Gürpüz,1/3/2006 (16 years old),GER,Bundesliga,Borussia Dortmund,Right Only,M (C),184 cm,70 kg,16,€80K - €230K,€275 p/m,Physical,Central Midfielder
2000180879,Jean Paul Ndiaye,24/8/2006 (15 years old),GER,Bundesliga 2,Hannover,Left,AM (LC),174 cm,57 kg,15,€7K - €75K,€275 p/m,Technical,Winger
2000182180,Robin Lisewski,13/2/2006 (16 years old),POL,Bundesliga,Borussia Dortmund,Right Only,GK,188 cm,70 kg,16,€0 - €45K,€275 p/m,Distributor,Goalkeeper
18108471,Tom Roufosse,28/3/2001 (21 years old),BEL,Jupiler Pro League,Eupen,Right Only,GK,181 cm,76 kg,21,€22K - €230K,"€4,300 p/m",Shot Stopper,Sweeper Keeper
8155051,Luqman Hakim,5/3/2002 (20 years old),MAS,Jupiler Pro League,KV Kortrijk,Right Only,"AM (C), ST (C)",170 cm,62 kg,20,€22K - €220K,"€10,750 p/m",Technical,False Nine
2000100677,Mansour Ouro-Tagba,17/12/2004 (17 years old),USA,3. Liga,1860 München,Right Only,"AM (RL), ST (C)",189 cm,80 kg,17,€80K - €240K,"€1,600 p/m",Physical,Winger
2000198468,David Easmon,27/9/2005 (16 years old),NED,Eredivisie,Ajax,Left,D (LC),179 cm,66 kg,16,€35K - €350K,€500 p/m,Intelligent,Full-Back
2000159539,Lindon Ajeti,3/2/2005 (17 years old),ALB,Jupiler Pro League,Standard,Right Only,D/WB (R),184 cm,69 kg,17,€4K - €40K,€250 p/m,Physical,Full-Back
2000170116,Steyn Potma,16/5/2003 (19 years old),NED,Eredivisie,FC Groningen,Either,M/AM (C),186 cm,74 kg,19,€0 - €60K,€650 p/m,Leader,Inverted Winger
2000197164,Semih Kara,5/5/2005 (17 years old),TUR,Bundesliga,VfB Stuttgart,Left Only,D (L),177 cm,65 kg,17,€16K - €160K,"€2,800 p/m",Physical,Full-Back
2000194650,Felix Vogler,12/4/2003 (19 years old),GER,Bundesliga 2,Magdeburg,Right,"D (L), M (RL)",190 cm,82 kg,19,€0 - €14K,"€1,700 p/m",Leader,Defensive Winger
2000196569,Luka Blazevic,5/5/2004 (18 years old),GER,3. Liga,MSV Duisburg,Right Only,"M/AM (C), ST (C)",170 cm,60 kg,18,€8K - €22K,"€1,500 p/m",Technical,Advanced Forward
2000197356,Iven Kaiser,16/1/2005 (17 years old),GER,Bundesliga,Hoffenheim,Right Only,D (C),184 cm,72 kg,17,€22K - €210K,"€2,800 p/m",Physical,No-Nonsense Centre-Back
2000154164,Batuhan Gögce,15/12/2004 (17 years old),GER,Bundesliga,Union Berlin,Left Only,AM (LC),185 cm,72 kg,17,€14K - €130K,"€2,900 p/m",Physical,Winger
2000197406,Inas Music,30/5/2005 (17 years old),BIH,Bundesliga 2,Heidenheim,Right Only,ST (C),179 cm,69 kg,17,€0 - €65K,"€1,700 p/m",Physical,Poacher
2000182177,Alex Niziolek,28/6/2006 (15 years old),POL,Bundesliga,Borussia Dortmund,Right,M/AM (R),175 cm,59 kg,15,€60K - €190K,€275 p/m,Technical,Winger
2000197355,Yannis Hör,5/1/2005 (17 years old),GER,Bundesliga,Hoffenheim,Right Only,D (C),181 cm,70 kg,17,€7K - €70K,"€2,800 p/m",Physical,No-Nonsense Centre-Back
2000177775,Robin Rosenberger,20/11/2004 (17 years old),GER,3. Liga,SV Wehen Wiesbaden,Right Only,"M/AM (RL), ST (C)",175 cm,62 kg,17,€2.5K - €22K,"€1,600 p/m",Physical,Winger
2000194681,Marvin Alpert,26/7/2005 (16 years old),GER,Bundesliga,SV Werder,Right Only,ST (C),164 cm,55 kg,16,€70K - €210K,€275 p/m,Technical,Poacher
2000197046,Elias Langner,27/9/2005 (16 years old),GER,Bundesliga 2,KSC,Right,ST (C),172 cm,63 kg,16,€12K - €110K,€275 p/m,Physical,Poacher
2000194739,Pascal Srougbo,27/3/2005 (17 years old),GER,Bundesliga 2,HSV,Right Only,"DM, M (C)",194 cm,81 kg,17,€10K - €95K,"€1,700 p/m",Intelligent,Central Midfielder
2000179611,Jaynilson Geoffrey,1/12/2005 (16 years old),NED,Eredivisie,Ajax,Right,AM (L),175 cm,61 kg,16,€7K - €70K,€500 p/m,Leader,Inverted Winger
2000197358,Louis Wagensommer,11/2/2005 (17 years old),GER,Bundesliga,Hoffenheim,Right Only,D (C),193 cm,80 kg,17,€26K - €250K,"€2,800 p/m",Leader,Central Defender
2000196140,Tim Fürstenau,2/3/2005 (17 years old),GER,Bundesliga 2,Hansa Rostock,Right Only,ST (C),185 cm,74 kg,17,€0 - €35K,"€1,700 p/m",Physical,Poacher
2000193607,Julian Hoyler,9/3/2005 (17 years old),GER,Bundesliga 2,Fürth,Left Only,D (L),186 cm,74 kg,17,€1.5K - €14K,€275 p/m,Physical,Full-Back
2000193610,Taid Keserovic,6/8/2005 (16 years old),GER,Bundesliga 2,Fürth,Left Only,M/AM (L),166 cm,55 kg,16,€0 - €85K,€275 p/m,Creative,Winger
2000194575,Julius Mehnert,7/5/2005 (17 years old),GER,Bundesliga 2,Magdeburg,Right Only,"DM, M (C)",168 cm,58 kg,17,€2.5K - €24K,€275 p/m,Technical,Central Midfielder
2000136054,Alessandro Lazzano,27/9/2004 (17 years old),GER,3. Liga,1. FC Saarbrücken,Right Only,M (C),166 cm,55 kg,17,0,"€1,600 p/m",Technical,Central Midfielder
2000176991,Gustav Aabro,28/6/2006 (15 years old),DEN,Bundesliga,Borussia Dortmund,Right Only,GK,188 cm,70 kg,15,€12K - €110K,€275 p/m,Shot Stopper,Sweeper Keeper
2000149665,Evzi Saiti,14/1/2004 (18 years old),ALB,Bundesliga 2,Kaiserslautern,Right,"DM, M (C)",175 cm,67 kg,18,0,"€1,700 p/m",Intelligent,Central Midfielder
2000193962,Pepe Pereira Mendes,25/2/2005 (17 years old),ESP,Bundesliga,Hertha Berlin,Right,"M (R), AM (RL)",182 cm,68 kg,17,€14K - €130K,€275 p/m,Physical,Winger
2000146257,Lars Kleiner,10/11/2004 (17 years old),GER,Bundesliga,Eintracht Frankfurt,Right,D/WB (R),172 cm,64 kg,17,€160K - €475K,"€2,900 p/m",Technical,Full-Back
2000103857,Leon Pertl,15/3/2005 (17 years old),AUT,Bundesliga 2,KSC,Right,GK,191 cm,78 kg,17,€85K - €250K,€275 p/m,Assertive,Goalkeeper
2000146038,Luan Klose,30/1/2005 (17 years old),GER,3. Liga,1860 München,Right,ST (C),177 cm,62 kg,17,€0 - €40K,€275 p/m,Physical,Poacher
2000149654,Henri Werner,30/3/2004 (18 years old),GER,Bundesliga 2,Kaiserslautern,Right Only,D (C),186 cm,78 kg,18,€0 - €55K,"€1,700 p/m",Physical,Central Defender
2000149655,Drini Miftari,1/3/2004 (18 years old),GER,Bundesliga 2,Kaiserslautern,Right Only,D (RC),183 cm,72 kg,18,€7K - €70K,"€1,700 p/m",Intelligent,Full-Back
2000149668,Damon Mauer,5/4/2004 (18 years old),GER,Bundesliga 2,Kaiserslautern,Right Only,M/AM (R),170 cm,61 kg,18,0,"€1,700 p/m",Creative,Winger
2000149671,David Hoor,6/2/2004 (18 years old),GER,Bundesliga 2,Kaiserslautern,Right Only,"D (C), DM, M (C)",190 cm,80 kg,18,€0 - €2K,"€1,700 p/m",Leader,Segundo Volante
2000149672,Pharis Petrica,1/9/2004 (17 years old),GER,Bundesliga 2,Kaiserslautern,Right Only,"DM, M/AM (C)",183 cm,73 kg,17,€0 - €50K,"€1,800 p/m",Technical,Central Midfielder
2000149673,Steven Heib,26/1/2004 (18 years old),GER,Bundesliga 2,Kaiserslautern,Left Only,D/WB/M/AM (L),167 cm,60 kg,18,€1.5K - €4.5K,"€1,700 p/m",Technical,Winger
2000149675,Kimi Merk,6/7/2004 (17 years old),GER,Bundesliga 2,Kaiserslautern,Right Only,"AM (C), ST (C)",176 cm,65 kg,17,€500 - €5K,"€1,800 p/m",Physical,Shadow Striker
2000149676,Marlon Ludwig,11/6/2004 (18 years old),GER,Bundesliga 2,Kaiserslautern,Right Only,ST (C),183 cm,75 kg,18,€0 - €60K,"€1,700 p/m",Physical,Advanced Forward
2000150137,Massimo Agostinelli,12/4/2005 (17 years old),LUX,Bundesliga 2,Nürnberg,Right,D (C),182 cm,74 kg,17,€26K - €75K,€275 p/m,Physical,Central Defender
2000150140,Thomas Souchard,25/8/2005 (16 years old),LUX,Bundesliga 2,KSC,Right,AM (RL),190 cm,75 kg,16,€22K - €220K,€275 p/m,Technical,Winger
2000150141,Hugo Afonso,28/1/2005 (17 years old),LUX,Bundesliga 2,KSC,Right Only,"DM, M (C)",193 cm,79 kg,17,€75K - €220K,€275 p/m,Technical,Central Midfielder
2000150145,Jayson Videira,17/2/2005 (17 years old),LUX,Bundesliga 2,Hannover,Right Only,M/AM (R),175 cm,66 kg,17,€30K - €95K,€275 p/m,Technical,Winger
2000155967,Lars Westendorf,22/1/2004 (18 years old),GER,Bundesliga 2,Hansa Rostock,Right,D (C),190 cm,78 kg,18,€0 - €1K,"€1,700 p/m",Physical,Central Defender
2000158240,Veit Stange,8/2/2004 (18 years old),GER,Bundesliga,Hertha Berlin,Right,"D (C), DM",184 cm,75 kg,18,€14K - €140K,"€2,800 p/m",Intelligent,Central Defender
2000158243,Dion Ajvazi,10/2/2004 (18 years old),KOS,Bundesliga,Hertha Berlin,Right,"DM, M/AM (C)",173 cm,65 kg,18,€6K - €55K,"€2,800 p/m",Technical,Mezzala
2000158252,Paul Krause,7/1/2004 (18 years old),GER,Bundesliga,Hertha Berlin,Right Only,GK,186 cm,73 kg,18,€0 - €60K,"€2,800 p/m",Shot Stopper,Goalkeeper
2000160521,Maurizio Robotta,18/7/2004 (17 years old),GER,3. Liga,SV Wehen Wiesbaden,Right Only,D/WB (R),194 cm,79 kg,17,€4K - €12K,"€1,600 p/m",Physical,Full-Back
2000160531,Görkem Koca,19/7/2004 (17 years old),GER,Bundesliga 2,Kaiserslautern,Right,M/AM (C),182 cm,74 kg,17,€500 - €6K,"€1,800 p/m",Technical,Advanced Playmaker
2000060386,Kamil Antosiak,11/6/2004 (18 years old),POL,Bundesliga 2,Hansa Rostock,Right Only,"AM (C), ST (C)",176 cm,66 kg,18,€0 - €35K,"€1,700 p/m",Technical,Advanced Forward
2000062403,Alex Echner,9/7/2004 (17 years old),GER,Bundesliga,SC Freiburg,Right Only,M/AM (C),180 cm,66 kg,17,€3.5K - €35K,"€2,900 p/m",Physical,Mezzala
2000068806,Thilo Marksteiner,16/6/2003 (19 years old),GER,Bundesliga 2,KSC,Right Only,GK,195 cm,85 kg,19,€0 - €18K,"€1,700 p/m",Assertive,Goalkeeper
2000068824,Aggelos Rafailidis,17/2/2003 (19 years old),GRE,Bundesliga 2,KSC,Right Only,M/AM (C),178 cm,69 kg,19,€0 - €40K,"€1,700 p/m",Creative,Advanced Playmaker
2000068829,Tim Rossmann,11/11/2003 (18 years old),GER,Bundesliga 2,KSC,Left Only,D/WB/M/AM (L),181 cm,71 kg,18,€8K - €24K,"€1,700 p/m",Technical,Winger
2000068839,Emre Ekiz,8/4/2003 (19 years old),TUR,Bundesliga 2,KSC,Right Only,ST (C),175 cm,70 kg,19,€500 - €5K,"€1,700 p/m",Physical,Poacher
2000069070,Gökdeniz Celik,1/7/2003 (18 years old),GER,Bundesliga 2,Heidenheim,Right,D (RL),179 cm,68 kg,18,€0 - €55K,"€1,700 p/m",Physical,Full-Back
2000193966,Sebastian Weiland,2/1/2005 (17 years old),GER,Bundesliga,Hertha Berlin,Right Only,D (R),182 cm,71 kg,17,€18K - €180K,€275 p/m,Physical,Full-Back
2000193970,Seyid Akova,14/2/2005 (17 years old),GER,Bundesliga,Hertha Berlin,Right Only,ST (C),183 cm,74 kg,17,€14K - €150K,€275 p/m,Physical,Poacher
2000193971,Dan Karsten,22/3/2005 (17 years old),CZE,Bundesliga,Hertha Berlin,Left Only,"DM, M (C)",190 cm,77 kg,17,€3.5K - €35K,€275 p/m,Physical,Mezzala
2000193972,Moritz Conrad,12/1/2005 (17 years old),GER,Bundesliga,Hertha Berlin,Right Only,GK,188 cm,73 kg,17,€0 - €95K,€275 p/m,Distributor,Goalkeeper
2000193973,Lukas Sommer,30/1/2005 (17 years old),GER,Bundesliga,Hertha Berlin,Right Only,D (R),184 cm,74 kg,17,€24K - €75K,€275 p/m,Technical,Full-Back
2000193975,Dominik Schickersinsky,28/2/2004 (18 years old),GER,Bundesliga,Hertha Berlin,Right,AM (L),170 cm,60 kg,18,€4K - €40K,"€2,800 p/m",Physical,Inverted Winger
2000194708,Ronny Seibt,10/7/2005 (16 years old),GER,Bundesliga 2,St. Pauli,Right,GK,184 cm,68 kg,16,€0 - €100K,€275 p/m,Shot Stopper,Sweeper Keeper
2000194709,Luca Freese,6/1/2005 (17 years old),GER,Bundesliga 2,St. Pauli,Right,D (C),194 cm,80 kg,17,€30K - €95K,€275 p/m,Physical,Central Defender
2000194715,Nic Kretschmar,5/6/2005 (17 years old),GER,Bundesliga 2,St. Pauli,Right,D (RL),182 cm,72 kg,17,€500 - €4K,€275 p/m,Technical,Full-Back
2000194718,Samir Amiri,3/5/2005 (17 years old),GER,Bundesliga 2,St. Pauli,Right,"DM, M (C)",181 cm,70 kg,17,€0 - €55K,€275 p/m,Leader,Central Midfielder
2000194720,Niklas Jovanović,9/4/2005 (17 years old),GER,Bundesliga 2,St. Pauli,Right,"DM, M/AM (C)",190 cm,78 kg,17,€0 - €70K,€275 p/m,Intelligent,Central Midfielder
2000194723,Joscha Oguazu,28/7/2005 (16 years old),GER,Bundesliga 2,St. Pauli,Right Only,M/AM (RC),194 cm,78 kg,16,€6K - €65K,€275 p/m,Physical,Winger
2000194918,Gisbert Zokpa,16/10/2005 (16 years old),GER,Bundesliga 2,Kiel,Right Only,ST (C),180 cm,64 kg,16,€0 - €45K,€275 p/m,Physical,Advanced Forward
2000194921,Felix Kaiser,30/6/2005 (16 years old),GER,Bundesliga 2,Kiel,Right Only,"DM, M (C)",179 cm,66 kg,16,€30K - €95K,€275 p/m,Leader,Central Midfielder
2000194922,Pepe Kruse,30/1/2004 (18 years old),GER,Bundesliga 2,Kiel,Right,"DM, M/AM (C)",180 cm,70 kg,18,€0 - €45K,"€1,700 p/m",Creative,Mezzala
2000194923,Saagon Fobissiè,9/3/2005 (17 years old),GER,Bundesliga 2,Kiel,Right Only,ST (C),176 cm,63 kg,17,€500 - €4K,€275 p/m,Physical,Poacher
2000194924,Lukas Meßfeldt,19/6/2005 (17 years old),GER,Bundesliga 2,Kiel,Right Only,GK,196 cm,79 kg,17,€0 - €55K,€275 p/m,Shot Stopper,Goalkeeper
2000194926,Tyler Doğan,18/11/2005 (16 years old),TUR,Bundesliga 2,Kiel,Right Only,GK,186 cm,70 kg,16,€14K - €150K,€275 p/m,Assertive,Goalkeeper
2000194927,Kevin Mamiza,21/1/2004 (18 years old),GER,Bundesliga 2,Kiel,Right,D (C),188 cm,78 kg,18,€500 - €5K,"€1,700 p/m",Technical,Central Defender
2000194930,Leon Steffen,3/1/2005 (17 years old),GER,Bundesliga 2,Kiel,Right Only,"D (C), DM",197 cm,82 kg,17,€0 - €60K,€275 p/m,Physical,Central Defender
2000194931,Moritz Hundsdorff,15/5/2004 (18 years old),GER,Bundesliga 2,Kiel,Left,D (L),169 cm,61 kg,18,€0 - €2.5K,"€1,700 p/m",Technical,Full-Back
2000194932,Leif Thele,26/2/2005 (17 years old),GER,Bundesliga 2,Kiel,Left Only,D/WB/M/AM (L),172 cm,64 kg,17,€0 - €55K,€275 p/m,Technical,Winger
2000194933,Philipp Buchholz,30/1/2005 (17 years old),GER,Bundesliga 2,Kiel,Left Only,D (LC),183 cm,72 kg,17,€4.5K - €14K,€275 p/m,Intelligent,Full-Back
2000194934,Paskal Meyer,25/6/2005 (17 years old),GER,Bundesliga 2,Kiel,Left Only,D (L),181 cm,71 kg,17,€0 - €90K,€275 p/m,Intelligent,Full-Back
2000194935,Ali Hrnjicic,16/10/2005 (16 years old),BIH,Bundesliga 2,Kiel,Right Only,D/WB/M/AM (R),180 cm,63 kg,16,€5K - €55K,€275 p/m,Physical,Winger
2000194937,Melvin Zimmer,30/4/2004 (18 years old),GER,Bundesliga 2,Kiel,Left,"DM, M/AM (LC)",182 cm,73 kg,18,€20K - €60K,"€1,700 p/m",Technical,Central Midfielder
2000194938,Tim Jansa,21/7/2005 (16 years old),GER,Bundesliga 2,Kiel,Right Only,"DM, M/AM (C)",177 cm,63 kg,16,€0 - €120K,€275 p/m,Intelligent,Central Midfielder
2000194939,Burak Keskin,17/7/2005 (16 years old),GER,Bundesliga 2,Kiel,Right Only,"DM, M (C)",172 cm,61 kg,16,€3.5K - €35K,€275 p/m,Physical,Ball Winning Midfielder
2000194940,Ikem Ugoh,11/7/2005 (16 years old),GER,Bundesliga 2,Kiel,Right,"M (C), AM (RC)",178 cm,64 kg,16,€0 - €90K,€275 p/m,Technical,Mezzala
2000194941,Efekan Calikoglu,12/2/2005 (17 years old),TUR,Bundesliga 2,Kiel,Left Only,M/AM (L),169 cm,58 kg,17,€14K - €45K,€275 p/m,Creative,Winger
2000194959,Merlin Sinanović,21/11/2005 (16 years old),GER,Bundesliga 2,Kiel,Right Only,"M/AM (R), ST (C)",183 cm,68 kg,16,€8K - €80K,€275 p/m,Physical,Winger
2000196139,Justin Kohlisch,22/5/2004 (18 years old),GER,Bundesliga 2,Hansa Rostock,Right Only,D (C),169 cm,60 kg,18,€500 - €3.5K,"€1,700 p/m",Intelligent,Central Defender
2000196141,Fynn-Jason Karsten,1/10/2005 (16 years old),GER,Bundesliga 2,Hansa Rostock,Right Only,GK,185 cm,68 kg,16,€95K - €275K,€275 p/m,Distributor,Goalkeeper
2000196579,Paul Gelber,20/5/2005 (17 years old),GER,Bundesliga,1. FC Köln,Right,ST (C),184 cm,72 kg,17,€3.5K - €35K,€275 p/m,Physical,Poacher
2000100662,Marko Živanović,28/6/2003 (18 years old),SRB,3. Liga,1860 München,Right Only,ST (C),190 cm,81 kg,18,€0 - €8K,"€1,100 p/m",Physical,Poacher
2000100664,Muck Riedmüller,16/2/2004 (18 years old),GER,3. Liga,1860 München,Right Only,GK,188 cm,80 kg,18,€0 - €18K,"€1,500 p/m",Shot Stopper,Sweeper Keeper
2000100668,Moritz Rem,1/3/2004 (18 years old),GER,3. Liga,1860 München,Left Only,D/WB/M/AM (L),179 cm,65 kg,18,€0 - €28K,"€1,500 p/m",Technical,Winger
2000100669,Teo Marošević,19/9/2004 (17 years old),GER,3. Liga,1860 München,Right Only,"D (RC), WB/M/AM (R)",178 cm,65 kg,17,€3K - €8K,"€1,600 p/m",Physical,Winger
2000100670,Yannik Seils,17/9/2004 (17 years old),GER,3. Liga,1860 München,Right Only,"D (RC), DM",181 cm,72 kg,17,€0 - €110K,"€1,600 p/m",Intelligent,Full-Back
