df1,df2,name1,birthdate1,name2,birthdate2,nat1,nat2,club1,club2,score
fm_10347,tm_9503,Tan Chun Lok,1996-01-15,Juan Antonio Ros,1996-03-15,HKG,Spain,GZ City,Albacete Balompié,False
fm_17907,tm_10390,Trévor Letellier,2006-01-26,Tim Goller,2005-01-26,FRA,Germany,RC Lens,Hertha BSC,False
fm_8696,tm_2026,Aron Ingi Magnússon,2004-09-22,Simon Dorfner,2004-09-22,ISL,Germany,Venezia,SpVgg Unterhaching,False
fm_15504,tm_1973,Jimmy Giraudon,1992-01-16,Tommy Grupe,1992-03-29,FRA,Germany,ASSE,VfB Lübeck,False
fm_10750,tm_3116,Yang Jingfan,1999-09-29,Yang Liu,1991-02-09,CHN,China,Changchun,Cangzhou Mighty Lions,False
fm_2836,tm_1518,Joost van Aken,1994-05-13,Jonathan Dean,1997-05-15,NED,United States,sc Heerenveen,Chicago Fire FC,False
fm_14510,tm_4558,Gaku Shibasaki,1992-05-28,Jakub Szumski,1992-03-06,JPN,Poland,Leganés,Samsunspor,False
fm_12278,tm_10039,Micah Hamilton,2003-11-13,Joe Hilton,1999-10-11,ENG,England,Man City,Blackburn Rovers,False
fm_18386,tm_5554,Renan Pineschi,2004-08-06,Renan Lodi,1998-04-08,BRA,Brazil,BVT,Olympique Marseille,False
fm_9291,tm_7533,Ermes Semeraro,2006-02-06,James Shea,1991-06-16,ITA,England,Bari,Luton Town,False
fm_16912,tm_4119,Maher Bouyadel,2003-01-17,Mehdi Boukamir,2004-01-26,FRA,Morocco,VTSC,RSC Charleroi,False
fm_4710,tm_10735,Nazjir Held,2005-09-02,David Herold,2003-02-20,CUW,Germany,FC Utrecht,,False
fm_5973,tm_4719,Arda Bilgilisoy,2005-01-29,Muhammed Eren Arikan,2005-01-29,GER,Turkey,Eintracht Frankfurt,Kayserispor,False
fm_5660,tm_2175,Nic Kretschmar,2005-06-05,Nico Benalcázar,2001-06-06,GER,United States,St. Pauli,New York City FC,False
fm_13393,tm_9725,Pharrell Willis,2003-02-23,Harry Winks,1996-02-02,ENG,England,Middlesbrough,Leicester City,False
fm_18063,tm_4166,Yaël Nandjou Kwingoua,2005-07-06,Ilias El Hari,2005-07-06,FRA,Morocco,OGC Nice,KVC Westerlo,False
fm_3562,tm_5645,Faaris Yusufu,2005-02-11,Ayanda Sishuba,2005-02-02,GER,Belgium,Schalke 04,,False
fm_9165,tm_5540,Demirel Hodžić,2005-03-08,Désiré Doué,2005-06-03,SWE,France,Bologna,Stade Rennais FC,False
fm_16746,tm_2703,Yuk Jin-young,2001-09-13,Sebastian Hornung,2001-02-13,KOR,Germany,VTSC,SC Freiburg II,False
fm_3973,tm_10136,Jasper ter Heide,1999-03-29,Mads Frøkjaer-Jensen,1999-07-29,NED,Denmark,SC Cambuur,Preston North End,False
fm_17488,tm_5939,Samir Moussa Ali,2005-05-19,Sami Lahssaini,1998-09-18,FRA,Belgium,Paris FC,FC Metz,False
fm_5720,tm_3640,Olaf Kozłowski,2005-06-06,Kacper Kozlowski,2003-10-16,POL,Poland,Union SG,Brighton & Hove Albion,False
fm_5561,tm_1723,Deniz-Kaan Wolf,2004-01-30,Hamza Anhari,2004-01-30,GER,Morocco,Darmstadt,MSV Duisburg,False
fm_12841,tm_8295,Basilio Rieno-Socoliche,2004-11-16,Yoan Koré,2004-11-16,ENG,France,Crystal Palace,Paris FC,False
fm_8722,tm_6363,Eugenio Cozzolino,2006-03-15,Lorenzo Colombo,2002-03-08,ITA,Italy,Frosinone,AC Milan,False
fm_18014,tm_5686,Noa Megdad Manette,2005-06-15,Nathan Zeze,2005-06-18,FRA,France,Bordeaux,FC Nantes,False
fm_13852,tm_5950,Ifeoluwa Oni,2005-03-13,Ibou Sané,2005-03-28,ENG,Senegal,Birmingham,FC Metz,False
fm_13471,tm_10101,AJ Bridge,2005-03-21,Jake Bidwell,1993-03-21,ENG,England,Middlesbrough,Coventry City,False
fm_7950,tm_5192,Luigi Eduardo Ferrandino,2005-07-22,Ricardo Ferreira,2005-12-10,ITA,Portugal,Brianza,,False
fm_12071,tm_10066,Jay Spearing,1988-11-25,Frank Fielding,1988-04-04,ENG,England,Liverpool,Stoke City,False
fm_4980,tm_5286,Obed Adjei Agyapong,2004-12-18,Pedro Amador,1998-12-18,BEL,Portugal,KV Mechelen,Moreirense FC,False
fm_10985,tm_1961,Lyu Shihao,2002-07-16,Joshua Schwirten,2002-01-07,CHN,Germany,Guangzhou,FC Erzgebirge Aue,False
fm_14083,tm_1343,Oli Challinor,2006-02-04,Jude Wellings,2006-04-26,ENG,United States,Stoke,Real Salt Lake City,False
fm_3927,tm_4021,Théo Ndicka Matam,2000-04-20,Théo Leoni,2000-04-21,FRA,Belgium,Oostende,RSC Anderlecht,False
fm_4646,tm_8883,Trustin van 't Loo,2004-05-25,Tom van de Looi,1999-07-02,NED,Netherlands,sc Heerenveen,Brescia Calcio,False
fm_15337,tm_7718,MT,2001-03-01,Mikkel Kaufmann,2001-01-03,BRA,Denmark,Santa Clara,1.FC Union Berlin,False
