"RecordIDS","AverageConsistency","Birthdate-Consistency","Birthdate-Values","Club-Consistency","Club-Values","Jersey_number-Consistency","Jersey_number-Values","Name-Consistency","Name-Values","Nationality-Consistency","Nationality-Values","Height-Consistency","Height-Values","Weight-Consistency","Weight-Values"
"eafc_5283+fm_14586+tm_5516","0.5714285714285714","1.0","{1999-02-25T00:00|1999-02-25T00:00|1999-02-25T00:00}","0.6666666666666666","{Monaco|AS Monaco|AS Monaco}","0.0","{27|27}","0.6666666666666666","{K. Diatta|Krépin Diatta|Krépin Diatta}","0.6666666666666666","{Senegal|SEN|Senegal}","1.0","{175.0|175.0}","0.0","{69.0|68.0}"
"eafc_7917+fm_9401+tm_4451","0.5714285714285714","1.0","{1999-10-04T00:00|1999-10-04T00:00|1999-10-04T00:00}","0.6666666666666666","{Beşiktaş|Beşiktaş|Besiktas JK}","0.0","{40|40}","0.6666666666666666","{J. Muleka|Jackson Muleka|Jackson Muleka}","0.6666666666666666","{Congo DR|COD|DR Congo}","1.0","{180.0|180.0}","0.0","{80.0|77.0}"
"eafc_5868+tm_8588","0.5714285714285714","1.0","{1995-08-15T00:00|1995-08-15T00:00}","0.0","{Concarneau|US Concarneau}","0.0","{17|17}","0.0","{M. Etuin|Maxime Etuin}","1.0","{France|France}","1.0","{175.0}","1.0","{69.0}"
"eafc_11677+fm_11093","0.7142857142857143","1.0","{2002-01-12T00:00|2002-01-12T00:00}","1.0","{Shenzhen|Shenzhen}","1.0","{35}","1.0","{Lu Wentao|Lu Wentao}","0.0","{China PR|CHN}","1.0","{188.0|188.0}","0.0","{76.0|74.0}"
"eafc_3395+fm_2941","0.42857142857142855","1.0","{1993-06-26T00:00|1993-06-26T00:00}","0.0","{Saarbrücken|1. FC Saarbrücken}","1.0","{24}","0.0","{S. Jacob|Sebastian Jacob}","0.0","{Germany|GER}","1.0","{183.0|183.0}","0.0","{80.0|73.0}"
"eafc_3381+fm_4000+tm_3870","0.47619047619047616","1.0","{1996-05-13T00:00|1996-05-13T00:00|1996-05-13T00:00}","1.0","{FC Volendam|FC Volendam|FC Volendam}","0.0","{4|4}","0.6666666666666666","{D. Mirani|Damon Mirani|Damon Mirani}","0.6666666666666666","{Netherlands|NED|Netherlands}","0.0","{182.0|183.0}","0.0","{76.0|79.0}"
"eafc_8262+fm_9814+tm_4693","0.619047619047619","1.0","{2002-08-07T00:00|2002-08-07T00:00|2002-08-07T00:00}","1.0","{Alanyaspor|Alanyaspor|Alanyaspor}","0.0","{42|42}","0.6666666666666666","{Y. Bahadır|Yunus Bahadir|Yunus Bahadir}","0.6666666666666666","{Turkey|TUR|Turkey}","1.0","{180.0|180.0}","0.0","{70.0|73.0}"
"eafc_3185+fm_11958+tm_7537","0.7142857142857143","1.0","{1996-09-02T00:00|1996-09-02T00:00|1996-09-02T00:00}","0.6666666666666666","{Luton Town|Luton|Luton Town}","0.0","{16|16}","0.6666666666666666","{R. Burke|Reece Burke|Reece Burke}","0.6666666666666666","{England|ENG|England}","1.0","{189.0|189.0}","1.0","{81.0|81.0}"
"eafc_9402+fm_7067","0.5714285714285714","1.0","{2005-08-11T00:00|2005-08-11T00:00}","1.0","{Bologna|Bologna}","1.0","{66}","0.0","{W. Amey|Wisdom Amey}","0.0","{Italy|ITA}","1.0","{187.0|187.0}","0.0","{75.0|86.0}"
"eafc_10207+fm_17264+tm_8215","0.47619047619047616","1.0","{2004-10-14T00:00|2004-10-14T00:00|2004-10-14T00:00}","1.0","{Amiens SC|Amiens SC|Amiens SC}","0.0","{22|22}","0.6666666666666666","{K. Ouattara|Kassoum Ouattara|Kassoum Ouattara}","0.6666666666666666","{France|FRA|France}","0.0","{176.0|177.0}","0.0","{73.0|66.0}"
"eafc_4881+fm_16034+tm_5801","0.47619047619047616","1.0","{1996-06-22T00:00|1996-06-22T00:00|1996-06-22T00:00}","0.0","{Stade de Reims|Reims|Stade Reims}","0.0","{15|15}","0.6666666666666666","{M. Munetsi|Marshall Munetsi|Marshall Munetsi}","0.6666666666666666","{Zimbabwe|ZIM|Zimbabwe}","0.0","{188.0|187.0}","1.0","{83.0|83.0}"
"eafc_7032+tm_4032","0.5714285714285714","1.0","{2001-04-24T00:00|2001-04-24T00:00}","0.0","{Anderlecht|RSC Anderlecht}","0.0","{20|20}","0.0","{L. Vázquez|Luis Vázquez}","1.0","{Argentina|Argentina}","1.0","{190.0}","1.0","{78.0}"
"eafc_3821+fm_2993+tm_3637","0.7142857142857143","1.0","{1996-06-28T00:00|1996-06-28T00:00|1996-06-28T00:00}","0.6666666666666666","{Vitesse|Vitesse|Vitesse Arnhem}","0.0","{2|2}","0.6666666666666666","{C. Arcus|Carlens Arcus|Carlens Arcus}","0.6666666666666666","{Haiti|HAI|Haiti}","1.0","{176.0|176.0}","1.0","{73.0|73.0}"
"eafc_9750+fm_1456+tm_1620","0.23809523809523808","1.0","{2002-08-20T00:00|2002-08-20T00:00|2002-08-20T00:00}","0.0","{Houston Dynamo|Houston|Houston Dynamo FC}","0.0","{21|21}","0.0","{N. Quiñónes|Nelson Quiñones|Nelson Quiñónes}","0.6666666666666666","{Colombia|COL|Colombia}","0.0","{175.0|180.0}","0.0","{67.0|66.0}"
"eafc_3214+fm_2458+tm_10459","0.7142857142857143","1.0","{1994-04-25T00:00|1994-04-25T00:00|1994-04-25T00:00}","0.6666666666666666","{Fortuna Düsseldorf|Düsseldorf|Fortuna Düsseldorf}","0.0","{31|31}","0.6666666666666666","{M. Sobottka|Marcel Sobottka|Marcel Sobottka}","0.6666666666666666","{Germany|GER|Germany}","1.0","{185.0|185.0}","1.0","{75.0|75.0}"
"eafc_6214+fm_3295+tm_1858","0.47619047619047616","1.0","{1999-09-17T00:00|1999-09-17T00:00|1999-09-17T00:00}","0.0","{Waldhof Mannheim|SV Meppen|SV Waldhof Mannheim}","0.0","{17|17}","0.6666666666666666","{S. Abifade|Samuel Abifade|Samuel Abifade}","0.6666666666666666","{Germany|GER|Germany}","1.0","{186.0|186.0}","0.0","{84.0|75.0}"
"eafc_1620+tm_10356","0.5714285714285714","0.0","{1991-12-04T00:00|1992-01-14T00:00}","1.0","{Rotherham United|Rotherham United}","0.0","{9|9}","0.0","{T. Eaves|Tom Eaves}","1.0","{England|England}","1.0","{191.0}","1.0","{93.0}"
"eafc_1402+fm_11533+tm_7295","0.7142857142857143","1.0","{1991-06-15T00:00|1991-06-15T00:00|1991-06-15T00:00}","0.6666666666666666","{Brighton & Hove Albion|Brighton|Brighton & Hove Albion}","0.0","{13|13}","0.6666666666666666","{P. Groß|Pascal Groß|Pascal Groß}","0.6666666666666666","{Germany|GER|Germany}","1.0","{181.0|181.0}","1.0","{78.0|78.0}"
"eafc_8536+fm_3365+tm_7805","0.4285714285714285","1.0","{2001-09-20T00:00|2001-09-20T00:00|2001-09-20T00:00}","0.6666666666666666","{SC Freiburg|SC Freiburg II|SC Freiburg}","0.0","{7|7}","0.6666666666666666","{N. Weißhaupt|Noah Weißhaupt|Noah Weißhaupt}","0.6666666666666666","{Germany|GER|Germany}","0.0","{181.0|182.0}","0.0","{72.0|73.0}"
"eafc_2411+fm_1810+tm_7565","0.47619047619047616","1.0","{1993-12-22T00:00|1993-12-22T00:00|1993-12-22T00:00}","0.0","{FC Bayern München|Borussia Dortmund|Bayern Munich}","0.0","{22|22}","0.6666666666666666","{R. Guerreiro|Raphaël Guerreiro|Raphaël Guerreiro}","0.6666666666666666","{Portugal|POR|Portugal}","1.0","{170.0|170.0}","0.0","{69.0|71.0}"
"eafc_6933+tm_2485","0.5714285714285714","1.0","{1999-06-24T00:00|1999-06-24T00:00}","0.0","{Al Tai|Al-Tai FC}","0.0","{11|11}","0.0","{A. Cordea|Andrei Cordea}","1.0","{Romania|Romania}","1.0","{180.0}","1.0","{75.0}"
"eafc_6840+fm_16156+tm_8485","0.7142857142857143","1.0","{1991-03-30T00:00|1991-03-30T00:00|1991-03-30T00:00}","0.6666666666666666","{Rodez|Rodez AF|Rodez AF}","0.0","{21|21}","0.6666666666666666","{J. Chougrani|Joris Chougrani|Joris Chougrani}","0.6666666666666666","{France|FRA|France}","1.0","{185.0|185.0}","1.0","{82.0|82.0}"
"eafc_1101+fm_6599+tm_8646","0.7142857142857143","1.0","{1986-09-20T00:00|1986-09-20T00:00|1986-09-20T00:00}","0.6666666666666666","{Parma|Parma|Parma Calcio 1913}","0.0","{14|14}","0.6666666666666666","{C. Ansaldi|Cristian Ansaldi|Cristian Ansaldi}","0.6666666666666666","{Argentina|ARG|Argentina}","1.0","{181.0|181.0}","1.0","{76.0|76.0}"
"eafc_6653+tm_4672","0.7142857142857143","1.0","{1997-06-29T00:00|1997-06-29T00:00}","1.0","{Konyaspor|Konyaspor}","0.0","{11|11}","0.0","{L. Prip|Louka Prip}","1.0","{Denmark|Denmark}","1.0","{182.0}","1.0","{72.0}"
"eafc_11037+tm_4764","0.5714285714285714","1.0","{2000-07-18T00:00|2000-07-18T00:00}","0.0","{Rizespor|Caykur Rizespor}","0.0","{77|77}","0.0","{A. Zeqiri|Altin Zeqiri}","1.0","{Kosovo|Kosovo}","1.0","{185.0}","1.0","{74.0}"
"eafc_2194+fm_1110+tm_1246","0.5714285714285714","1.0","{1991-03-05T00:00|1991-03-05T00:00|1991-03-05T00:00}","0.6666666666666666","{Columbus Crew|CF Montréal|Columbus Crew}","0.0","{4|4}","0.6666666666666666","{R. Camacho|Rudy Camacho|Rudy Camacho}","0.6666666666666666","{France|FRA|France}","0.0","{185.0|186.0}","1.0","{79.0|79.0}"
"eafc_7146+tm_3844","0.7142857142857143","1.0","{2000-03-02T00:00|2000-03-02T00:00}","1.0","{Heracles Almelo|Heracles Almelo}","0.0","{12|12}","0.0","{R. Roosken|Ruben Roosken}","1.0","{Netherlands|Netherlands}","1.0","{183.0}","1.0","{70.0}"
"eafc_9440+fm_3078+tm_10771","0.47619047619047616","1.0","{1994-10-08T00:00|1994-10-08T00:00|1994-10-08T00:00}","0.0","{Elversberg|SV Elversberg|SV 07 Elversberg}","0.0","{7|7}","0.6666666666666666","{M. Feil|Manuel Feil|Manuel Feil}","0.6666666666666666","{Germany|GER|Germany}","1.0","{169.0|169.0}","0.0","{67.0|72.0}"
"eafc_7257+fm_2764+tm_5794","0.619047619047619","1.0","{1997-05-26T00:00|1997-05-26T00:00|1997-05-26T00:00}","0.0","{Stade de Reims|AA Gent|Stade Reims}","0.0","{2|2}","0.6666666666666666","{J. Okumu|Joseph Okumu|Joseph Okumu}","0.6666666666666666","{Kenya|KEN|Kenya}","1.0","{193.0|193.0}","1.0","{75.0|75.0}"
"eafc_4426+tm_2344","0.5714285714285714","1.0","{1994-02-03T00:00|1994-10-17T00:00}","0.0","{Abha|Al-Ittihad Club}","0.0","{34|30}","0.0","{Z. Al Sahafi|Ziyad Al-Sahafi}","1.0","{Saudi Arabia|Saudi Arabia}","1.0","{184.0}","1.0","{71.0}"
"eafc_9036+fm_1579+tm_1635","0.3333333333333333","1.0","{1997-11-04T00:00|1997-11-04T00:00|1997-11-04T00:00}","0.6666666666666666","{DC United|D.C. United|D.C. United}","0.0","{72|72}","0.6666666666666666","{G. Samaké|Gaoussou Samaké|Gaoussou Samaké}","0.0","{Côte d'Ivoire|CIV|Cote d'Ivoire}","0.0","{168.0|173.0}","0.0","{62.0|74.0}"
"eafc_8998+tm_4216","0.5714285714285714","1.0","{2003-08-07T00:00|2003-08-07T00:00}","0.0","{Cercle Brugge|AS Monaco}","0.0","{6|6}","0.0","{F. Lemaréchal|Félix Lemaréchal}","1.0","{France|France}","1.0","{180.0}","1.0","{73.0}"
"eafc_5915+fm_3160+tm_2736","0.47619047619047616","1.0","{1997-03-30T00:00|1997-03-30T00:00|1997-03-30T00:00}","0.0","{Ingolstadt|Kiel|FC Ingolstadt 04}","0.0","{32|32}","0.6666666666666666","{S. Lorenz|Simon Lorenz|Simon Lorenz}","0.6666666666666666","{Germany|GER|Germany}","1.0","{187.0|187.0}","0.0","{84.0|85.0}"
"eafc_7642+tm_9340","0.8571428571428571","1.0","{2000-03-27T00:00|2000-03-27T00:00}","1.0","{Sporting Gijón|Sporting Gijón}","0.0","{7|7}","1.0","{Gaspar Campos|Gaspar Campos}","1.0","{Spain|Spain}","1.0","{175.0}","1.0","{73.0}"
"eafc_6523+tm_3828","0.7142857142857143","1.0","{2000-10-23T00:00|2000-10-23T00:00}","1.0","{PEC Zwolle|PEC Zwolle}","0.0","{23|23}","0.0","{E. Reijnders|Eliano Reijnders}","1.0","{Netherlands|Netherlands}","1.0","{170.0}","1.0","{60.0}"
"eafc_5738+eafc_9125+fm_11526+fm_16517+tm_9772","0.42857142857142855","1.0","{1996-01-16T00:00|1996-01-16T00:00}","0.0","{Toulouse|Toulouse FC}","1.0","{21}","0.0","{J. Flemmings|Junior Flemmings}","0.0","{Jamaica|JAM}","0.0","{183.0|180.0}","1.0","{77.0|77.0}"
"eafc_5365+fm_14710+tm_5452","0.38095238095238093","1.0","{1993-12-01T00:00|1993-12-01T00:00|1993-12-01T00:00}","0.0","{Estrela Amadora|PTM|CF Estrela Amadora SAD}","0.0","{21|21}","1.0","{Pedro Sá|Pedro Sá|Pedro Sá}","0.6666666666666666","{Portugal|POR|Portugal}","0.0","{185.0|175.0}","0.0","{81.0|70.0}"
"eafc_9731+fm_3737+tm_2718","0.5714285714285714","1.0","{2003-01-29T00:00|2003-01-29T00:00|2003-01-29T00:00}","0.6666666666666666","{Freiburg II|SC Freiburg II|SC Freiburg II}","0.0","{26|26}","0.6666666666666666","{O. Wiklöf|Oscar Wiklöf|Oscar Wiklöf}","0.6666666666666666","{Finland|FIN|Finland}","1.0","{187.0|187.0}","0.0","{70.0|78.0}"
"eafc_3763+fm_1377","0.2857142857142857","1.0","{1997-01-14T00:00|1997-01-14T00:00}","0.0","{Nashville SC|Nashville}","1.0","{8}","0.0","{R. Leal|Randall Leal}","0.0","{Costa Rica|CRC}","0.0","{169.0|171.0}","0.0","{66.0|67.0}"
"eafc_8203+fm_3812+tm_3612","0.619047619047619","1.0","{2002-02-02T00:00|2002-02-02T00:00|2002-02-02T00:00}","1.0","{SC Heerenveen|sc Heerenveen|SC Heerenveen}","0.0","{6|6}","0.6666666666666666","{S. van Ottele|Syb van Ottele|Syb van Ottele}","0.6666666666666666","{Netherlands|NED|Netherlands}","1.0","{185.0|185.0}","0.0","{78.0|80.0}"
"eafc_7293+tm_1302","0.5714285714285714","1.0","{1999-09-15T00:00|1999-09-15T00:00}","0.0","{Vancouver Whitecaps|Vancouver Whitecaps FC}","0.0","{2|2}","0.0","{M. Laborda|Mathías Laborda}","1.0","{Uruguay|Uruguay}","1.0","{182.0}","1.0","{72.0}"
"eafc_9118+fm_13165+tm_9860","0.4285714285714285","1.0","{2002-12-09T00:00|2002-12-01T00:00|2002-12-09T00:00}","0.6666666666666666","{Swansea City|Swansea|Swansea City}","0.0","{47|47}","0.6666666666666666","{A. Abdulai|Azeem Abdulai|Azeem Abdulai}","0.6666666666666666","{Scotland|SCO|Scotland}","0.0","{183.0|186.0}","0.0","{75.0|82.0}"
"eafc_8118+fm_4247+tm_3588","0.5714285714285714","1.0","{2002-11-06T00:00|2002-11-06T00:00|2002-11-06T00:00}","0.6666666666666666","{FC Twente|FC Twente|Twente Enschede FC}","0.0","{38|38}","0.6666666666666666","{M. Bruns|Max Bruns|Max Bruns}","0.6666666666666666","{Netherlands|NED|Netherlands}","1.0","{183.0|183.0}","0.0","{67.0|74.0}"
"eafc_6184+tm_9117","0.5714285714285714","1.0","{1998-10-08T00:00|1998-10-08T00:00}","0.0","{Südtirol|FC Südtirol}","0.0","{26|26}","0.0","{A. Cisco|Andrea Cisco}","1.0","{Italy|Italy}","1.0","{186.0}","1.0","{74.0}"
"eafc_5007+fm_1911","0.42857142857142855","1.0","{1997-04-22T00:00|1997-04-22T00:00}","0.0","{Genoa|Mainz 05}","1.0","{3}","1.0","{Aarón|Aarón}","0.0","{Spain|ESP}","0.0","{178.0|180.0}","0.0","{70.0|72.0}"
"eafc_4418+fm_10349","0.42857142857142855","1.0","{1994-06-14T00:00|1994-06-14T00:00}","1.0","{Al Tai|Al-Tai}","1.0","{15}","0.0","{A. Fallatah|Abdulmohsen Fallatah}","0.0","{Saudi Arabia|KSA}","0.0","{182.0|184.0}","0.0","{75.0|68.0}"
"eafc_1692+eafc_2897+fm_6061+tm_6035","0.6547619047619048","1.0","{1991-07-15T00:00|1991-10-29T00:00|1991-07-15T00:00|1991-07-15T00:00}","0.5","{Juventus|VfL Bochum 1848|Juventus|Juventus FC}","0.0","{6|3|6}","1.0","{Danilo|Danilo|Danilo|Danilo}","0.75","{Brazil|Brazil|BRA|Brazil}","0.6666666666666666","{184.0|170.0|184.0}","0.6666666666666666","{78.0|73.0|78.0}"
"eafc_1686+fm_6457+tm_8733","0.5714285714285714","1.0","{1990-06-30T00:00|1990-06-30T00:00|1990-06-30T00:00}","0.6666666666666666","{Pisa|Pisa|Pisa Sporting Club}","0.0","{4|4}","0.6666666666666666","{A. Caracciolo|Antonio Caracciolo|Antonio Caracciolo}","0.6666666666666666","{Italy|ITA|Italy}","1.0","{185.0|185.0}","0.0","{83.0|84.0}"
"eafc_6850+fm_15586+tm_10287","0.38095238095238093","1.0","{1996-09-03T00:00|1996-09-03T00:00|1996-09-03T00:00}","0.0","{Sheffield Wednesday|PTM|Portimonense SC}","0.0","{44|44}","0.0","{M. Diaby|Mohamed Diaby|Momo Diaby}","0.6666666666666666","{France|FRA|France}","1.0","{197.0|197.0}","0.0","{77.0|84.0}"
"eafc_1590+fm_14752+tm_6936","0.7619047619047619","1.0","{1992-09-28T00:00|1992-09-28T00:00|1992-09-28T00:00}","0.6666666666666666","{Granada|Granada|Granada CF}","0.0","{14|14}","1.0","{Ignasi Miquel|Ignasi Miquel|Ignasi Miquel}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{188.0|188.0}","1.0","{82.0|82.0}"
"eafc_6568+fm_12007","0.2857142857142857","1.0","{2001-07-07T00:00|2001-07-07T00:00}","0.0","{Burnley|Bristol City}","1.0","{23}","0.0","{H. Massengo|Han-Noah Massengo}","0.0","{France|FRA}","0.0","{175.0|177.0}","0.0","{70.0|66.0}"
"eafc_2836+fm_2560+tm_3941","0.619047619047619","1.0","{1994-12-16T00:00|1994-12-16T00:00|1994-12-16T00:00}","0.0","{Club Brugge|Standard|Club Brugge KV}","0.0","{77|77}","0.6666666666666666","{P. Zinckernagel|Philip Zinckernagel|Philip Zinckernagel}","0.6666666666666666","{Denmark|DEN|Denmark}","1.0","{175.0|175.0}","1.0","{70.0|70.0}"
"eafc_2668+fm_12137","0.2857142857142857","1.0","{1995-10-11T00:00|1995-10-11T00:00}","0.0","{Stoke City|Coventry}","1.0","{5}","0.0","{M. Rose|Michael Rose}","0.0","{Scotland|SCO}","0.0","{188.0|181.0}","0.0","{70.0|79.0}"
"eafc_5584+fm_14611","0.5714285714285714","1.0","{1995-10-31T00:00|1995-10-31T00:00}","0.0","{Celta de Vigo|Benfica}","1.0","{21}","0.0","{M. Ristić|Mihailo Ristić}","0.0","{Serbia|SRB}","1.0","{180.0|180.0}","1.0","{79.0|79.0}"
"eafc_4657+tm_8613","0.5714285714285714","1.0","{1997-01-27T00:00|1997-01-27T00:00}","0.0","{Spezia|Spezia Calcio}","0.0","{23|23}","0.0","{L. Mühl|Lukas Mühl}","1.0","{Germany|Germany}","1.0","{189.0}","1.0","{83.0}"
"eafc_2699+tm_8654","0.5714285714285714","1.0","{1995-01-28T00:00|1995-01-28T00:00}","0.0","{Parma|Parma Calcio 1913}","0.0","{31|-1}","0.0","{W. Cyprien|Wylan Cyprien}","1.0","{France|France}","1.0","{180.0}","1.0","{79.0}"
"eafc_2910+fm_2618+tm_2700","0.7142857142857143","1.0","{1988-11-03T00:00|1988-11-03T00:00|1988-11-03T00:00}","0.6666666666666666","{Dynamo Dresden|Dynamo Dresden|SG Dynamo Dresden}","0.0","{30|30}","0.6666666666666666","{S. Kutschke|Stefan Kutschke|Stefan Kutschke}","0.6666666666666666","{Germany|GER|Germany}","1.0","{194.0|194.0}","1.0","{95.0|95.0}"
"eafc_2773+fm_10455","0.42857142857142855","1.0","{1993-07-15T00:00|1993-07-15T00:00}","0.0","{Al Nassr|Al-Nassr (KSA)}","1.0","{3}","0.0","{A. Madu|Abdullah Madu}","0.0","{Saudi Arabia|KSA}","1.0","{186.0|186.0}","0.0","{86.0|87.0}"
"eafc_10935+tm_2703","0.5714285714285714","1.0","{2001-02-13T00:00|2001-02-13T00:00}","0.0","{Freiburg II|SC Freiburg II}","0.0","{33|33}","0.0","{S. Hornung|Sebastian Hornung}","1.0","{Germany|Germany}","1.0","{182.0}","1.0","{77.0}"
"eafc_9724+fm_4557","0.5714285714285714","1.0","{2005-01-03T00:00|2005-01-09T00:00}","1.0","{Nürnberg|Nürnberg}","1.0","{40}","0.0","{P. Fuchs|Pascal Fuchs}","0.0","{Germany|GER}","1.0","{177.0|177.0}","0.0","{70.0|65.0}"
"eafc_10596+tm_1009","0.5714285714285714","1.0","{2000-05-31T00:00|2000-05-31T00:00}","0.0","{Cincinnati|FC Cincinnati}","0.0","{34|34}","0.0","{L. Aghedo|London Aghedo}","1.0","{United States|United States}","1.0","{188.0}","1.0","{80.0}"
"eafc_7377+fm_15832+tm_5579","0.7142857142857143","1.0","{2000-11-06T00:00|2000-11-06T00:00|2000-11-06T00:00}","0.6666666666666666","{Nice|OGC Nice|OGC Nice}","0.0","{26|26}","0.6666666666666666","{M. Bard|Melvin Bard|Melvin Bard}","0.6666666666666666","{France|FRA|France}","1.0","{173.0|173.0}","1.0","{65.0|65.0}"
"eafc_5616+fm_14862+tm_6970","0.7619047619047619","1.0","{1997-07-07T00:00|1997-07-07T00:00|1997-07-07T00:00}","0.6666666666666666","{Deportivo Alavés|Real San Sebastián|Deportivo Alavés}","0.0","{6|6}","1.0","{Ander Guevara|Ander Guevara|Ander Guevara}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{180.0|180.0}","1.0","{73.0|73.0}"
"eafc_7352+fm_14483+tm_5706","0.5714285714285714","1.0","{1997-11-28T00:00|1997-11-28T00:00|1997-11-28T00:00}","0.6666666666666666","{Nantes|FC Nantes|FC Nantes}","0.0","{31|31}","0.6666666666666666","{M. Mohamed|Mostafa Mohamed|Mostafa Mohamed}","0.6666666666666666","{Egypt|EGY|Egypt}","1.0","{185.0|185.0}","0.0","{78.0|80.0}"
"eafc_3590+fm_6799","0.42857142857142855","1.0","{1996-03-09T00:00|1996-03-09T00:00}","0.0","{Monza|Perugia}","1.0","{66}","0.0","{S. Gori|Stefano Gori}","0.0","{Italy|ITA}","1.0","{185.0|185.0}","0.0","{73.0|75.0}"
"eafc_2925+fm_11982+tm_10147","0.5714285714285714","1.0","{1995-02-03T00:00|1995-02-03T00:00|1995-02-03T00:00}","0.6666666666666666","{Millwall|Millwall|Millwall FC}","0.0","{5|5}","0.6666666666666666","{J. Cooper|Jake Cooper|Jake Cooper}","0.6666666666666666","{England|ENG|England}","0.0","{199.0|201.0}","1.0","{85.0|85.0}"
"eafc_6168+tm_2510","0.7142857142857143","1.0","{1997-10-21T00:00|1997-10-21T00:00}","1.0","{Al Okhdood}","0.0","{14|14}","0.0","{A. Mostafa|Ahmed Mostafa}","1.0","{Egypt|Egypt}","1.0","{169.0}","1.0","{63.0}"
"eafc_1438+fm_1798+tm_7778","0.619047619047619","1.0","{1992-06-03T00:00|1992-06-03T00:00|1992-06-03T00:00}","1.0","{Eintracht Frankfurt|Eintracht Frankfurt|Eintracht Frankfurt}","0.0","{27|27}","0.6666666666666666","{M. Götze|Mario Götze|Mario Götze}","0.6666666666666666","{Germany|GER|Germany}","1.0","{176.0|176.0}","0.0","{72.0|75.0}"
"eafc_11427+fm_10617","0.42857142857142855","1.0","{1994-09-08T00:00|1994-09-08T00:00}","0.0","{Meizhou Hakka|GZ City}","1.0","{7}","1.0","{Ye Chugui|Ye Chugui}","0.0","{China PR|CHN}","0.0","{180.0|178.0}","0.0","{72.0|70.0}"
"eafc_3722+fm_15134","0.42857142857142855","1.0","{1993-02-18T00:00|1993-02-18T00:00}","0.0","{Sporting Braga|BRG}","1.0","{26}","0.0","{C. Borja|Cristián Borja}","0.0","{Colombia|COL}","1.0","{180.0|180.0}","0.0","{73.0|71.0}"
"eafc_2929+fm_9387","0.6666666666666666","1.0","{1992-11-09T00:00|1992-12-20T00:00|1992-11-09T00:00|1992-12-20T00:00|1992-12-20T00:00|1992-11-09T00:00}","0.5","{Sporting CP|Ankaragücü|Sporting CP|Ankaragücü|MKE Ankaragücü|Sporting CP}","1.0","{20}","0.5","{Paulinho|Pedrinho|Paulinho|Pedrinho|Pedrinho|Paulinho}","0.6666666666666666","{Portugal|Portugal|POR|POR|Portugal|Portugal}","0.5","{187.0|170.0|187.0|170.0}","0.5","{88.0|65.0|88.0|68.0}"
"eafc_1031+fm_1020+tm_1553","0.4285714285714285","1.0","{1987-07-31T00:00|1987-07-31T00:00|1987-07-31T00:00}","0.6666666666666666","{Toronto|Toronto FC|Toronto FC}","0.0","{4|4}","0.6666666666666666","{M. Bradley|Michael Bradley|Michael Bradley}","0.6666666666666666","{United States|USA|United States}","0.0","{185.0|188.0}","0.0","{87.0|80.0}"
"eafc_8823+fm_3726+tm_3793","0.5714285714285714","1.0","{2001-02-09T00:00|2001-02-09T00:00|2001-02-09T00:00}","0.6666666666666666","{Go Ahead Eagles|FC Twente|Go Ahead Eagles}","0.0","{26|26}","0.6666666666666666","{L. Everink|Luca Everink|Luca Everink}","0.6666666666666666","{Netherlands|NED|Netherlands}","1.0","{179.0|179.0}","0.0","{76.0|75.0}"
"eafc_7096+tm_2010","0.5714285714285714","1.0","{2001-02-08T00:00|2001-02-08T00:00}","0.0","{Unterhaching|SpVgg Unterhaching}","0.0","{39|39}","0.0","{D. Waidner|Dennis Waidner}","1.0","{Germany|Germany}","1.0","{174.0}","1.0","{68.0}"
"eafc_1727+fm_14323+tm_6582","0.38095238095238093","1.0","{1989-11-02T00:00|1989-11-02T00:00|1989-11-02T00:00}","0.0","{Atlético Madrid|Las Palmas|Atlético de Madrid}","0.0","{26|-1}","1.0","{Vitolo|Vitolo|Vitolo}","0.6666666666666666","{Spain|ESP|Spain}","0.0","{185.0|184.0}","0.0","{79.0|80.0}"
"eafc_7536+fm_1389+tm_1411","0.4285714285714285","1.0","{2001-04-19T00:00|2001-04-19T00:00|2001-04-19T00:00}","0.6666666666666666","{Sporting Kansas City|Sporting KC|Sporting Kansas City}","0.0","{1|1}","0.6666666666666666","{J. Pulskamp|John Pulskamp|John Pulskamp}","0.6666666666666666","{United States|USA|United States}","0.0","{188.0|194.0}","0.0","{86.0|98.0}"
"eafc_1509+fm_14290+tm_9201","0.5714285714285714","1.0","{1991-06-05T00:00|1991-06-05T00:00|1991-06-05T00:00}","0.6666666666666666","{Espanyol|Espanyol|RCD Espanyol Barcelona}","0.0","{22|22}","0.6666666666666666","{M. Braithwaite|Martin Braithwaite|Martin Braithwaite}","0.6666666666666666","{Denmark|DEN|Denmark}","0.0","{180.0|177.0}","1.0","{77.0|77.0}"
"eafc_1376+fm_15840+tm_9460","0.7619047619047619","1.0","{1991-08-06T00:00|1991-08-06T00:00|1991-08-06T00:00}","0.6666666666666666","{Huesca|Huesca|SD Huesca}","0.0","{23|23}","1.0","{Óscar Sielva|Óscar Sielva|Óscar Sielva}","0.6666666666666666","{Spain|ESP|Spain}","1.0","{178.0|178.0}","1.0","{78.0|78.0}"
